ID,result
0,0.05595871061086655
1,0.0874183401465416
2,0.013718157075345516
3,0.03456278145313263
4,0.003508005989715457
5,0.04203060269355774
6,0.021816540509462357
7,0.0357666090130806
8,0.02402518130838871
9,0.04442625865340233
10,0.016183599829673767
11,0.046024829149246216
12,0.0505123995244503
13,0.06302689015865326
14,0.5191822052001953
15,0.17961536347866058
16,0.007692908868193626
17,0.00884363055229187
18,0.03900349512696266
19,0.28557732701301575
20,0.029330966994166374
21,0.047356631606817245
22,0.13838021457195282
23,0.006816635373979807
24,0.30317792296409607
25,0.1688934713602066
26,0.004396617412567139
27,0.11724396795034409
28,0.04239775240421295
29,0.36665892601013184
30,0.09449047595262527
31,0.2783580720424652
32,0.014490943402051926
33,0.007835529744625092
34,0.10427670925855637
35,0.025897536426782608
36,0.1727232038974762
37,0.03650260344147682
38,0.00550958001986146
39,0.11232241243124008
40,0.14300933480262756
41,0.046514663845300674
42,0.020152496173977852
43,0.0952741950750351
44,0.007489901501685381
45,0.06214826554059982
46,0.1141989603638649
47,0.003160955384373665
48,0.0898379310965538
49,0.0863078162074089
50,0.151663139462471
51,0.017909366637468338
52,0.029280031099915504
53,0.0042964983731508255
54,0.08780743181705475
55,0.0878160297870636
56,0.16637516021728516
57,0.15836580097675323
58,0.08164133876562119
59,0.035097137093544006
60,0.01580006629228592
61,0.01295564603060484
62,0.003310252446681261
63,0.00904995109885931
64,0.0058173309080302715
65,0.09265097230672836
66,0.014423253946006298
67,0.13001397252082825
68,0.02660493366420269
69,0.10911080241203308
70,0.029816830530762672
71,0.03381280228495598
72,0.011729683727025986
73,0.011488892138004303
74,0.0073133427649736404
75,0.18230551481246948
76,0.00607431773096323
77,0.10189802944660187
78,0.011056361719965935
79,0.00386810302734375
80,0.039281077682971954
81,0.014942804351449013
82,0.001527621760033071
83,0.007766483351588249
84,0.014940838329494
85,0.26792335510253906
86,0.09301523864269257
87,0.0032789099495857954
88,0.5693201422691345
89,0.009320543147623539
90,0.00973136629909277
91,0.1879466325044632
92,0.0033075993414968252
